Cylinder Analysis in LS-Dyna,Resultant Force
X-displacement,A1,
    1.9680383301e+02,    1.8473192215e+01,
    1.9730346680e+02,    1.8476539612e+01,
    1.9780326843e+02,    1.8691411972e+01,
    1.9830290222e+02,    1.8491847992e+01,
    1.9880242920e+02,    1.8017932892e+01,
    1.9930168152e+02,    1.7744493484e+01,
    1.9980073547e+02,    1.7608270645e+01,
    2.0030015564e+02,    1.7319311142e+01,
    2.0079978943e+02,    1.6927520752e+01,
    2.0129936218e+02,    1.6575965881e+01,
    2.0179890442e+02,    1.6251731873e+01,
    2.0229833984e+02,    1.6270090103e+01,
    2.0279771423e+02,    1.6526897430e+01,
    2.0329725647e+02,    1.6507314682e+01,
    2.0379689026e+02,    1.6295333862e+01,
    2.0429640198e+02,    1.6319644928e+01,
    2.0479582214e+02,    1.6508441925e+01,
    2.0529541016e+02,    1.7224411011e+01,
    2.0579508972e+02,    1.8304351807e+01,
    2.0629447937e+02,    1.8758932114e+01,
    2.0679364014e+02,    1.8763494492e+01,
    2.0729315186e+02,    1.8051647186e+01,
    2.0779290771e+02,    1.6828533173e+01,
    2.0829244995e+02,    1.6127212524e+01,
    2.0879182434e+02,    1.5807614326e+01,
    2.0929122925e+02,    1.6179950714e+01,
    2.0979061890e+02,    1.7054368973e+01,
    2.1029031372e+02,    1.7383825302e+01,
    2.1079022217e+02,    1.7321058273e+01,
    2.1128982544e+02,    1.6745357513e+01,
    2.1178924561e+02,    1.5784979820e+01,
    2.1228849792e+02,    1.5636259079e+01,
    2.1278764343e+02,    1.6086341858e+01,
    2.1328700256e+02,    1.6587654114e+01,
    2.1378654480e+02,    1.7127075195e+01,
    2.1428623962e+02,    1.7575504303e+01,
    2.1478605652e+02,    1.7955127716e+01,
    2.1528555298e+02,    1.7556531906e+01,
    2.1578482056e+02,    1.6549949646e+01,
    2.1628416443e+02,    1.5797836304e+01,
    2.1678355408e+02,    1.5244560242e+01,
    2.1728308105e+02,    1.4956279755e+01,
    2.1778268433e+02,    1.4870071411e+01,
    2.1828216553e+02,    1.4998793602e+01,
    2.1878152466e+02,    1.5294107437e+01,
    2.1928114319e+02,    1.5219957352e+01,
    2.1978096008e+02,    1.4859438896e+01,
    2.2028039551e+02,    1.4593252182e+01,
    2.2077955627e+02,    1.4403835297e+01,
    2.2127903748e+02,    1.4871994972e+01,
    2.2177879333e+02,    1.5879701614e+01,
    2.2227836609e+02,    1.6036972046e+01,
    2.2277780151e+02,    1.5496455193e+01,
    2.2327720642e+02,    1.4931704521e+01,
    2.2377662659e+02,    1.4347547531e+01,
    2.2427616882e+02,    1.4656873703e+01,
    2.2477581787e+02,    1.5693564415e+01,
    2.2527540588e+02,    1.6308841705e+01,
    2.2577493286e+02,    1.6575456619e+01,
    2.2627430725e+02,    1.6285985947e+01,
    2.2677359009e+02,    1.5528927803e+01,
    2.2727314758e+02,    1.5241977692e+01,
    2.2777293396e+02,    1.5356753349e+01,
    2.2827262878e+02,    1.5382196426e+01,
    2.2877221680e+02,    1.5331907272e+01,
    2.2927169800e+02,    1.5526716232e+01,
    2.2977105713e+02,    1.5929334641e+01,
    2.3027035522e+02,    1.5629470825e+01,
    2.3076960754e+02,    1.4729212761e+01,
    2.3126896667e+02,    1.4397243500e+01,
    2.3176841736e+02,    1.4554946899e+01,
    2.3226788330e+02,    1.4481613159e+01,
    2.3276736450e+02,    1.4205968857e+01,
    2.3326701355e+02,    1.4416914940e+01,
    2.3376681519e+02,    1.5064397812e+01,
    2.3426644897e+02,    1.5355422974e+01,
    2.3476594543e+02,    1.5324052811e+01,
    2.3526531982e+02,    1.5419958115e+01,
    2.3576458740e+02,    1.5632841110e+01,
    2.3626411438e+02,    1.5692590714e+01,
    2.3676387024e+02,    1.5614936829e+01,
